10195,Christmas Lizzies,4,1,7,132,NA,NA,NA
10196,Brown Sugar Shortbread Cookies,3.7619047164917,8,40,212,NA,NA,NA
10197,Royal Icing I,4.51882839202881,160,186,63,NA,NA,NA
10198,Royal Icing II,4.73417711257935,76,127,43,15M,NA,15M
10199,Royal Icing III,4.57692289352417,246,189,23,10M,NA,10M
10201,Apricot Cream Cheese Thumbprints,4.45555543899536,82,231,89,15M,15M,2H30M
10202,Strufoli I,4,1,1,492,NA,NA,NA
10203,Sesame Seed Cookies I,4.66666650772095,10,8,136,NA,NA,NA
10204,Cream Cheese Cookies I,4.13636350631714,58,191,54,10M,15M,1H
10205,Caramel Chewy Oatmeal Cookies,3.29411768913269,1,15,362,NA,NA,NA
10206,Oatmeal and Everything Bars,4.61363649368286,4,36,273,NA,NA,NA
10207,Peanut Butter Cup Cookies I,4.692307472229,0,23,271,NA,NA,NA
10208,Sand Tarts,4.90000009536743,4,17,153,15M,20M,1H40M
10209,Ceramic Mold Cookies,5,1,5,33,NA,NA,NA
10210,Cinnamon Stars,3.87804889678955,38,35,190,NA,NA,NA
10211,Chocolate Rum Balls I,4.49696969985962,232,376,99,45M,NA,45M
10212,Cream Wafers,4.66197204589844,7,61,130,NA,NA,NA
10213,Magic Cookie Bars I,4.70348834991455,49,140,384,NA,NA,NA
10214,Meatball Cookies,4.49494934082031,36,84,216,NA,NA,NA
10215,Cherry Bell Cookies,4.53125,1,29,214,NA,NA,NA
10216,Italian Chocolate Cookies,4.2619047164917,5,37,226,NA,NA,NA
10217,Pecan Crescents,4.76119422912598,66,51,180,NA,NA,NA
10218,Stir and Drop Sugar Cookies I,4.15217399597168,3,41,164,25M,10M,35M
10219,Nut Butter Balls,4.66666650772095,13,39,164,NA,NA,NA
10220,Pizzelles III,4.61940288543701,110,113,102,15M,35M,50M
10221,Banana Cake Cookies,4.53246736526489,51,126,277,5M,10M,15M
10222,Raspberry and Almond Shortbread Thumbprints,4.67084217071533,2K,1815,104,30M,18M,1H15M
10223,Pan Peanut Butter Cups,4,3,16,564,NA,NA,NA
10224,Surprise Cookies,4.83333349227905,20,10,172,NA,NA,NA
10225,Super Sugar Cookies,4.54716968536377,15,50,63,NA,NA,NA
10226,Italian Anisette Cookies,4.48591566085815,137,119,265,NA,NA,NA
10227,Egg Yolk Tempera,3.88888883590698,1,15,NA,5M,NA,5M
10228,Egg Yolk Painted Christmas Cookies,3.83333325386047,0,11,145,10M,15M,1H25M
10229,Oats and Pumpkin Pinwheels,3.71428561210632,3,6,140,NA,NA,NA
10230,Jam Kolaches,4.26424884796143,126,160,168,45M,15M,1H
102309,Cinnamon Krisp,4.44444465637207,10,8,394,5M,10M,45M
10232,Pineapple Bars,4.1904764175415,12,37,187,NA,NA,NA
10233,Butter Icing for Cookies,4.53932571411133,94,224,74,10M,NA,10M
10234,Caramel Chocolate Cookies,4.64583349227905,14,36,281,NA,NA,NA
10235,Snappy Turtle Cookies,4.692307472229,5,10,283,NA,NA,NA
102353,Fudge Chunkies,4.70491790771484,66,50,130,15M,15M,1H30M
10236,Turtles Cookies I,4.40000009536743,0,3,309,NA,NA,NA
10237,Cappuccino Crisps,3.5,1,2,121,NA,NA,NA
10239,Applesauce Oatmeal Cookies,3.62105274200439,24,151,182,NA,NA,NA
10240,Italian Wine Cookies,3.53846144676209,1,13,138,NA,NA,NA
10241,Lucky Stars,4.5,1,4,221,NA,NA,NA
10243,O' Henry Bars,4.36734676361084,14,38,508,NA,NA,NA
10244,Strufoli III,5,1,1,857,NA,NA,NA
10245,Oatmeal Chocolate Coconut Chewy,4.76158952713013,255,352,256,NA,NA,NA
102454,Strawberry Cream Parfaits with Coconut Macaroons,5,5,5,473,NA,NA,NA
10246,Citrus Cookies,3.70000004768372,14,18,84,NA,NA,NA
10247,Pepper Cookies I,4,1,3,94,NA,NA,NA
10248,Basic Cookie Mix,3.79487180709839,4,30,155,15M,NA,15M
10249,Basic Sugar Cookies,3.53846144676209,2,10,119,15M,15M,45M
10250,Basic Chocolate Chip Cookies,2.38095235824585,0,14,141,NA,NA,NA
10251,Basic Chocolate Drop Cookies,4.5,1,3,121,25M,15M,55M
10252,Basic Raisin Cookies,4,1,1,62,15M,15M,45M
10253,Basic Coconut Cookies,4.33333349227905,0,4,128,15M,15M,45M
10254,Basic Nut Cookies,0,0,0,140,15M,15M,45M
10255,Basic Peanut Butter Cookies,3.58333325386047,3,11,69,15M,15M,45M
10256,Basic Brownies,4,4,4,145,20M,25M,45M
10257,Basic Oatmeal Bars,3.5,0,2,94,15M,35M,1H5M
10258,Candy-Coated Milk Chocolate Pieces Cookies I,4.55000019073486,4,89,480,NA,NA,NA
10259,Candy-Coated Milk Chocolate Pieces Cookies II,4.44827604293823,18,23,463,NA,NA,NA
10260,Walnut Cherry Delights,3,0,1,658,NA,NA,NA
10261,Cherry Walnut Bars,4.85714292526245,2,11,217,NA,NA,NA
10262,Cherry Coconut Bars,4.55000019073486,3,17,275,NA,NA,NA
10263,Nutmeg Cookie Logs,4.63157892227173,14,12,434,NA,NA,NA
10264,Oatmeal Raisin Cookies I,4.37079954147339,1K,1450,92,15M,10M,1H
10265,Jumbo Raisin Cookies,4.74358987808228,22,30,206,20M,15M,50M
10266,Iced-Spiced Ginger Bars,4.63157892227173,6,16,328,NA,NA,NA
10267,Italian Fig Cookies I,4.4375,34,29,301,NA,NA,NA
10268,Peanut Butter Cookies II,4.1904764175415,4,67,85,15M,15M,1H20M
10269,Shortbread Cookies II,4.48399019241333,624,677,490,NA,NA,NA
10270,Candy Cane Cookies II,3.59482765197754,24,96,176,40M,20M,1H
10271,Becky's Oatmeal Carmelitas,4.60629940032959,6,102,352,20M,30M,50M
10272,Zucker Hutchen,0,0,0,132,20M,10M,1H15M
10273,Heavenly Shortbread,4.59649133682251,61,141,163,NA,NA,NA
10274,Instant Chocolate Oatmeal Cookies,3.95833325386047,19,43,88,NA,NA,NA
10275,Classic Peanut Butter Cookies,4.59351873397827,3K,2201,252,15M,10M,1H25M
10276,Pineapple Cookies I,2.8461537361145,2,11,142,NA,NA,NA
10277,Pineapple Cookies II,3.73333334922791,6,14,86,NA,NA,NA
10278,Pineapple Cookies III,4.31578969955444,4,17,107,NA,NA,NA
10279,Spumoni Squares,3.66666674613953,0,12,148,NA,NA,NA
10280,Cream Cheese Cookies II,4.625,3,7,381,NA,NA,NA
10281,Chewy Chocolate Cookies II,4.32620334625244,265,169,115,15M,9M,45M
10282,Butterscotch Oat Bars,4.15789461135864,5,18,268,NA,NA,NA
10283,Cornflake Clusters,4.18181800842285,5,20,137,NA,NA,NA
10284,Mom's Garbage Cookies,4.44444465637207,1,9,217,NA,NA,NA
10285,Butterscotch Brownies II,4.1875,9,26,417,NA,NA,NA
10286,Lemon Nut Cookies,4.32258081436157,17,26,186,NA,NA,NA
10288,Pepparkakor I,3.88888883590698,7,6,66,NA,NA,NA
10289,Caramel Crispy Treats I,4.5,2,5,175,NA,NA,NA
10290,Sweet Butter Cookies,3.81818175315857,1,7,36,NA,NA,NA
10292,Cream Cheese Christmas Cookies,4.18421030044556,13,34,124,NA,NA,NA
10293,Chocolate Chews,3.375,0,6,194,NA,NA,NA
10294,The Best Lemon Bars,4.51413869857788,3K,1793,126,15M,40M,55M
10295,Ambrosia Cookies,4.69565200805664,14,20,163,NA,NA,NA
10296,Cherry Chip Cookies I,4.68421030044556,0,19,318,NA,NA,NA
10297,Lori's Awesome Cookies,4.67857122421265,0,24,221,NA,NA,NA
10298,No Bake Cookies II,4.09920644760132,103,207,188,NA,NA,NA
10299,Meringue Teasers,4.11111116409302,2,8,89,NA,NA,NA
10300,Fruit and Nut Shortbread,4,4,5,227,NA,NA,NA
10302,Spritz Cookies III,3.45454549789429,1,10,124,NA,NA,NA
10303,Pecan Praline Cookies,4.5,50,123,151,10M,10M,20M
10304,Cream Cheese Cookies III,4.35087728500366,9,49,152,NA,NA,NA
10305,Fudge Meltaways,4.53846168518066,8,13,89,NA,NA,NA
10306,Half-Cup Cookies,3.75,0,7,166,NA,NA,NA
10307,Biscochitos I,4.20833349227905,14,45,224,15M,12M,27M
10308,Oatmeal Peanut Butter Cookies,4.62919187545776,1K,2106,120,15M,15M,1H
10309,Listy I,3.75,0,3,55,20M,30M,1H
10310,Listy II,4.75,0,4,83,30M,30M,1H
10311,Listy III,0,0,0,97,30M,30M,1H
10312,Winter Energy Cookies,4.70370388031006,11,114,333,NA,NA,NA
10313,Healthy Honey Carrot Cookies,3.53333330154419,11,24,117,NA,NA,NA
10314,Health Balls I,4.44444465637207,1,7,305,NA,NA,NA
10315,Brownies In A Jar,4.25,36,27,235,NA,NA,NA
10316,O' Henry Slice,4.7142858505249,1,6,851,NA,NA,NA
10317,Orange Cookies I,2.75,0,3,148,NA,NA,NA
103170,The Rebbetzin Chef's Persian Walnut Cookies,4.26923084259033,25,24,66,15M,20M,35M
10318,Krumkake I,4.66666650772095,6,5,155,NA,NA,NA
10319,Colossal Cookies,4.36538457870483,10,46,184,15M,12M,1H
10320,Peanut Butter Drops,3.93333339691162,0,13,86,NA,NA,NA
10321,Finska Kakor,5,0,4,111,NA,NA,NA
10322,Florentines I,3.75,2,4,69,NA,NA,NA
10323,Church Windows II,4.07692289352417,2,10,95,NA,NA,NA
10324,Maple Meltaways,3.93333339691162,0,12,151,NA,NA,NA
10325,Peanut Butter Cookies III,1.85714280605316,1,12,152,NA,NA,NA
10326,Raspberry Bars,3.25,0,7,216,NA,NA,NA
10327,Condensed Milk Chocolate Frosting,4.32000017166138,30,116,77,NA,NA,NA
10328,Rugelach II,3.79999995231628,0,4,112,NA,NA,NA
10329,Scotch Shortbread I,4.5,3,9,123,NA,NA,NA
10330,Lemon Kiss Cookies,4.33333349227905,3,12,122,NA,NA,NA
10331,Mom's Chocolate Chip Cookies,4.59140682220459,329,955,233,NA,NA,NA
10332,Northland Cookies,4.7142858505249,4,7,105,NA,NA,NA
10333,Chocolate Squares I,3.75,0,4,446,NA,NA,NA
10334,Chocolate Chip Shortbread Cookie Logs,4.56428575515747,14,128,107,30M,10M,1H
10336,Molasses Cookies I,3.83333325386047,3,4,110,NA,NA,NA
10337,Beth's Chocolate Chip Cookies,4.52242422103882,154,695,112,15M,12M,30M
10338,No Bakes,4.63819074630737,322,326,348,NA,NA,NA
10339,Pignoli Cookies II,4.35714292526245,41,46,170,NA,NA,NA
10340,Raspberry Coconut Layer Bars,4.46551704406738,5,45,449,NA,NA,NA
10341,Malted Milk Chip Cookies,4.13333320617676,7,13,439,NA,NA,NA
10342,Chocolate Cream Cheese Frosting,4.28947353363037,34,102,80,NA,NA,NA
10343,Lebkuchen II,4.83333349227905,2,6,154,NA,NA,NA
10344,Coconut Macaroons II,4.01298713684082,38,135,132,NA,NA,NA
10345,Lemon Curd Tassies,4.05000019073486,5,16,132,NA,NA,NA
10346,Lemon Pudding Cookies,4.19672107696533,9,51,265,15M,10M,25M
10347,Oatmeal Chocolate Chip Cookies II,4,15,49,98,NA,NA,NA
10348,Tiny Pecan Tarts,4.47945213317871,105,121,296,NA,NA,NA
